,Indicator,Group,State,Subgroup,Week,Week Label,Value,Low CI,High CI,Confidence Interval,Quartile range,State Abbreviation
0,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,4,May 21 - May 26,25.2,20.7,30.1,20.7 - 30.1,24.8-28.6,AL
1,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,4,May 21 - May 26,31.6,27.0,36.5,27.0 - 36.5,30.7-36.0,AK
2,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,4,May 21 - May 26,29.3,25.6,33.3,25.6 - 33.3,28.7-30.6,AZ
3,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,28.6,23.1,34.5,23.1 - 34.5,24.8-28.6,AR
4,Symptoms of Anxiety Disorder,By State,California,California,4,May 21 - May 26,30.4,27.4,33.6,27.4 - 33.6,28.7-30.6,CA
5,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,4,May 21 - May 26,28.8,25.2,32.6,25.2 - 32.6,28.7-30.6,CO
6,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,24.7,20.9,28.8,20.9 - 28.8,19.6-24.7,CT
7,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,4,May 21 - May 26,24.2,19.9,29.0,19.9 - 29.0,19.6-24.7,DE
8,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,29.9,25.0,35.1,25.0 - 35.1,28.7-30.6,DC
9,Symptoms of Anxiety Disorder,By State,Florida,Florida,4,May 21 - May 26,34.1,31.2,37.2,31.2 - 37.2,30.7-36.0,FL
10,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,4,May 21 - May 26,32.6,28.6,36.8,28.6 - 36.8,30.7-36.0,GA
11,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,19.6,16.1,23.4,16.1 - 23.4,19.6-24.7,HI
12,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,4,May 21 - May 26,22.1,17.3,27.5,17.3 - 27.5,19.6-24.7,ID
13,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,4,May 21 - May 26,30.3,26.2,34.7,26.2 - 34.7,28.7-30.6,IL
14,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,4,May 21 - May 26,30.5,27.2,34.0,27.2 - 34.0,28.7-30.6,IN
15,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,4,May 21 - May 26,20.6,17.1,24.6,17.1 - 24.6,19.6-24.7,IA
16,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,4,May 21 - May 26,30.1,26.2,34.3,26.2 - 34.3,28.7-30.6,KS
17,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,4,May 21 - May 26,30.8,25.8,36.2,25.8 - 36.2,30.7-36.0,KY
18,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,4,May 21 - May 26,36.0,30.8,41.4,30.8 - 41.4,30.7-36.0,LA
19,Symptoms of Anxiety Disorder,By State,Maine,Maine,4,May 21 - May 26,24.5,19.8,29.7,19.8 - 29.7,19.6-24.7,ME
20,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,4,May 21 - May 26,25.8,21.8,30.0,21.8 - 30.0,24.8-28.6,MD
21,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,4,May 21 - May 26,25.5,22.0,29.2,22.0 - 29.2,24.8-28.6,MA
22,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,4,May 21 - May 26,27.5,23.7,31.5,23.7 - 31.5,24.8-28.6,MI
23,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,4,May 21 - May 26,22.8,19.4,26.6,19.4 - 26.6,19.6-24.7,MN
24,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,4,May 21 - May 26,31.9,27.5,36.5,27.5 - 36.5,30.7-36.0,MS
25,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,4,May 21 - May 26,29.0,24.3,34.1,24.3 - 34.1,28.7-30.6,MO
26,Symptoms of Anxiety Disorder,By State,Montana,Montana,4,May 21 - May 26,24.3,20.0,29.0,20.0 - 29.0,19.6-24.7,MT
27,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,22.6,19.6,25.7,19.6 - 25.7,19.6-24.7,NE
28,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,4,May 21 - May 26,35.6,31.6,39.8,31.6 - 39.8,30.7-36.0,NV
29,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,24.6,21.0,28.4,21.0 - 28.4,19.6-24.7,NH
30,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,26.2,22.3,30.5,22.3 - 30.5,24.8-28.6,NJ
31,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,35.4,30.5,40.6,30.5 - 40.6,30.7-36.0,NM
32,Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,NY
33,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,27.5,24.1,31.2,24.1 - 31.2,24.8-28.6,NC
34,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,22.1,17.0,27.8,17.0 - 27.8,19.6-24.7,ND
35,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,4,May 21 - May 26,29.8,25.3,34.6,25.3 - 34.6,28.7-30.6,OH
36,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,27.3,23.2,31.6,23.2 - 31.6,24.8-28.6,OK
37,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,4,May 21 - May 26,32.1,28.3,36.2,28.3 - 36.2,30.7-36.0,OR
38,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,28.0,24.4,31.8,24.4 - 31.8,24.8-28.6,PA
39,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,30.6,25.8,35.7,25.8 - 35.7,28.7-30.6,RI
40,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,27.0,22.7,31.6,22.7 - 31.6,24.8-28.6,SC
41,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,30.4,24.6,36.6,24.6 - 36.6,28.7-30.6,SD
42,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,29.6,25.5,33.9,25.5 - 33.9,28.7-30.6,TN
43,Symptoms of Anxiety Disorder,By State,Texas,Texas,4,May 21 - May 26,32.6,29.0,36.3,29.0 - 36.3,30.7-36.0,TX
44,Symptoms of Anxiety Disorder,By State,Utah,Utah,4,May 21 - May 26,25.5,21.9,29.4,21.9 - 29.4,24.8-28.6,UT
45,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,4,May 21 - May 26,23.3,18.5,28.7,18.5 - 28.7,19.6-24.7,VT
46,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,4,May 21 - May 26,28.7,25.1,32.5,25.1 - 32.5,28.7-30.6,VA
47,Symptoms of Anxiety Disorder,By State,Washington,Washington,4,May 21 - May 26,26.8,23.8,29.9,23.8 - 29.9,24.8-28.6,WA
48,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,34.5,28.8,40.5,28.8 - 40.5,30.7-36.0,WV
49,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,24.7,21.0,28.6,21.0 - 28.6,19.6-24.7,WI
50,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,24.0,19.7,28.8,19.7 - 28.8,19.6-24.7,WY
