Code,State,Cases,Deaths
AL,Alabama,6539,228
AK,Alaska,343,7
AZ,Arizona,6716,277
AR,Arkansas,3069,51
CA,California,45187,1800
CO,Colorado,13804,705
CT,Connecticut,25997,2012
DE,Delaware,4162,125
FL,Florida,32130,1087
GA,Georgia,23229,981
HI,Hawaii,600,16
ID,Idaho,1785,58
IL,Illinois,45883,1992
IN,Indiana,15961,844
IA,Iowa,5868,127
KS,Kansas,3393,126
KY,Kentucky,4146,216
LA,Louisiana,27068,1697
ME,Maine,1023,51
MD,Maryland,19487,858
MA,Massachusetts,56462,3003
MI,Michigan,38190,3406
MN,Minnesota,3816,286
MS,Mississippi,6094,229
MO,Missouri,7171,296
MT,Montana,449,14
NE,Nebraska,3487,55
NV,Nevada,4708,219
NH,New Hampshire,1938,60
NJ,New Jersey,111188,6044
NM,New Mexico,2825,104
NY,New York,292027,17303
NC,North Carolina,9142,331
ND,North Dakota,942,19
OH,Ohio,16325,753
OK,Oklahoma,3280,197
OR,Oregon,2354,92
PA,Pennsylvania,43189,1946
RI,Rhode Island,7708,23
SC,South Carolina,5613,177
SD,South Dakota,2246,11
TN,Tennessee,9796,192
TX,Texas,25960,699
UT,Utah,4236,41
VT,Vermont,855,47
VA,Virginia,13535,458
WA,Washington,13864,771
WV,West Virginia,1077,37
WI,Wisconsin,6081,281
WY,Wyoming,389,7
