Facility,Inmates Positive,Staff Positive,Inmate Deaths,Staff Deaths,Inmates Recovered,Staff Recovered,City,State,Latitude,Longitude
Allenwood Medium FCI,0,0,0,0,0,1,White Deer,PA,,
Allenwood USP,0,0,0,0,0,1,Allenwood,PA,,
Beaumont Low FCI,0,1,0,0,0,0,Beaumont,TX,,
Beaumont Medium FCI,0,3,0,0,0,0,Beaumont,TX,,
"Behavioral Systems Southwest, Inc. (RRC)",0,0,1,0,0,0,Phoenix,AZ,33.4484367,-112.0741417
Brooklyn MDC,0,17,0,0,6,20,Brooklyn,NY,40.6501038,-73.9495823
Canaan USP,0,1,0,0,1,3,Waymart,PA,,
Central Office HQ,0,0,0,0,0,2,Washington,DC,38.8949855,-77.0365708
Coleman I USP,0,1,0,0,0,1,Sumterville,FL,28.7449901,-82.063418
Coleman II USP,0,0,0,0,0,1,Sumterville,FL,28.7449901,-82.063418
Community Education Centers; DBA: CEC (RRC),0,0,0,0,2,0,Philadelphia,PA,,
Cumberland FCI,0,2,0,0,6,0,Cumberland,MD,39.6526498,-78.762383
Dismas House of St. Louis (RRC),0,0,0,0,2,0,Saint Louis,MO,,
El Reno FCI,0,1,0,0,0,0,El Reno,OK,,
Englewood FCI,0,0,0,0,0,1,Littleton,CO,39.613321,-105.0166498
Fairton FCI,0,1,0,0,0,1,Fairton,NJ,39.3774575,-75.20804331
Forrest City Medium FCI,0,3,0,0,5,3,Forrest City,AR,35.0081474,-90.7898342
"GEO Care, Inc. (RRC)",0,0,1,0,0,0,Bronx,NY,,
Grand Prairie,0,1,0,0,0,0,Grand Prairie,TX,32.657368,-97.02846624
La Tuna FCI,0,1,0,0,0,1,Anthony,TX,31.9938837,-106.5963862
Leavenworth USP,0,0,0,0,0,1,Leavenworth,KS,,
Lewisburg USP,0,1,0,0,0,0,Lewisburg,PA,,
Los Angeles MDC,0,1,0,0,0,0,Los Angeles,CA,34.0536909,-118.2427666
McCreary USP,0,1,0,0,1,0,Pine Knot,KY,36.66383,-84.44604076
McDowell FCI,0,1,0,0,0,0,Welch,WV,,
Memphis FCI,0,1,0,0,0,0,Memphis,TN,35.1490215,-90.0516285
Miami FDC,0,14,0,0,0,2,Miami,FL,25.7742658,-80.1936589
Montgomery FPC,0,1,0,0,0,0,Montgomery,AL,,
New York MCC,0,15,0,0,5,23,New York,NY,40.7127281,-74.0060152
Otisville FCI,0,1,0,0,17,14,Otisville,NY,41.4734268,-74.5384933
Philadelphia FDC,0,2,0,0,0,1,Philadelphia,PA,,
Ray Brook FCI,0,6,0,0,11,3,Ray Brook,NY,44.2916917,-74.0789035
Rochester FMC,0,1,0,0,0,0,Rochester,MN,,
Seagoville FCI,0,0,0,0,1,0,Seagoville,TX,32.6447916,-96.5418608
Southeast RO,0,1,0,0,0,0,Atlanta,GA,33.7490987,-84.3901849
Talladega FCI,0,0,0,0,0,5,Talladega,AL,,
Tallahassee FCI,0,1,0,0,0,0,Tallahassee,FL,30.4380832,-84.2809332
Tucson USP,0,0,0,0,0,1,Tucson,AZ,,
Volunteers of America (RRC),0,0,0,0,3,0,Metairie,LA,30.001852,-90.17671492
Aliceville FCI,1,4,0,0,9,3,Aliceville,AL,33.1295681,-88.1514166
Atlanta USP,1,6,0,0,15,3,Atlanta,GA,,
"Behavioral Systems Southwest, Inc. (RRC)",1,0,0,0,0,0,Los Angeles,CA,34.1866193,-118.4486669
Carswell FMC,1,0,1,0,0,0,Fort Worth,TX,32.80724,-97.38137
Central Arizona Florence Correctional Complex (RRC),1,0,0,0,0,0,Florence,AZ,,
Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),1,0,0,0,8,0,Chicago,IL,41.8755616,-87.6244212
"Cherry Street Services, Inc. (RRC)",1,0,0,0,0,0,Detroit,MI,42.3315509,-83.0466403
Coleman Low FCI,1,1,0,0,0,1,Sumterville,FL,28.7449901,-82.063418
"CORE Services Group, Inc. (RRC)",1,0,0,0,3,0,Brooklyn,NY,40.6501038,-73.9495823
Devens FMC,1,2,1,0,0,0,Ayer,MA,42.5612021,-71.5897897
"GEO Care, LLC (RRC)",1,0,0,0,0,0,Sacramento,CA,38.5815719,-121.4943996
"Keeton Corrections, Inc. (Birmingham) (RRC)",1,0,0,0,0,0,Birmingham,AL,,
Oakdale II FCI,1,8,1,0,6,0,Oakdale,LA,44.991003,-92.96437403
Otero County Prison Facility (RRC),1,0,0,0,0,0,Charparral,NM,,
Pioneer Human Services; DBA: Pioneer Industries (RRC),1,0,0,0,1,0,Seattle,WA,47.6038321,-122.3300624
"Southeast Missouri Behavioral Health, Inc.; DBA: SEMO CTC (RRC)",1,0,0,0,0,0,Farmington,MO,,
Volunteers of America of Greater Ohio (RRC),1,0,0,0,0,0,Toledo,OH,,
"Volunteers of America of Western New York, Inc. (RRC)",1,0,0,0,0,0,Rochester,NY,43.157285,-77.615214
