date,code,state,fips,cases,deaths
2020-04-01,AL,Alabama,01,1106,28
2020-04-01,AK,Alaska,02,143,2
2020-04-01,AZ,Arizona,04,1413,29
2020-04-01,AR,Arkansas,05,624,10
2020-04-01,CA,California,06,9816,212
2020-04-01,CO,Colorado,08,3346,80
2020-04-01,CT,Connecticut,09,3557,85
2020-04-01,DE,Delaware,10,368,11
2020-04-01,District of Columbia,11,586,11
2020-04-01,FA,Florida,12,7765,100
2020-04-01,GA,Georgia,13,4747,154
2020-04-01,Guam,66,147,3
2020-04-01,HI,Hawaii,15,258,1
2020-04-01,ID,Idaho,16,669,9
2020-04-01,IL,Illinois,17,6978,146
2020-04-01,IN,Indiana,18,2564,65
2020-04-01,IA,Iowa,19,549,9
2020-04-01,KS,Kansas,20,488,11
2020-04-01,KY,Kentucky,21,674,20
2020-04-01,LA,Louisiana,22,6424,273
2020-04-01,ME,Maine,23,344,7
2020-04-01,MD,Maryland,24,1985,33
2020-04-01,MA,Massachusetts,25,7738,122
2020-04-01,MI,Michigan,26,9292,336
2020-04-01,MN,Minnesota,27,689,17
2020-04-01,MS,Mississippi,28,1073,22
2020-04-01,MO,Missouri,29,1580,18
2020-04-01,MT,Montana,30,217,5
2020-04-01,NE,Nebraska,31,249,5
2020-04-01,NV,Nevada,32,1279,32
2020-04-01,NH,New Hampshire,33,415,4
2020-04-01,NJ,New Jersey,34,22255,355
2020-04-01,NM,New Mexico,35,363,6
2020-04-01,NY,New York,36,84363,2415
2020-04-01,NC,North Carolina,37,1580,11
2020-04-01,ND,North Dakota,38,147,3
2020-04-01,Northern Mariana Islands,69,6,1
2020-04-01,OH,Ohio,39,2547,65
2020-04-01,OK,Oklahoma,40,719,30
2020-04-01,OR,Oregon,41,736,19
2020-04-01,PA,Pennsylvania,42,5805,74
2020-04-01,Puerto Rico,72,286,11
2020-04-01,RI,Rhode Island,44,566,10
2020-04-01,SC,South Carolina,45,1293,26
2020-04-01,SD,South Dakota,46,128,2
2020-04-01,TN,Tennessee,47,2689,23
2020-04-01,TX,Texas,48,4255,63
2020-04-01,UT,Utah,49,1012,7
2020-04-01,VT,Vermont,50,321,16
2020-04-01,Virgin Islands,78,30,0
2020-04-01,VA,Virginia,51,1511,34
2020-04-01,WA,Washington,53,5588,249
2020-04-01,WV,West Virginia,54,191,2
2020-04-01,WI,Wisconsin,55,1550,33
2020-04-01,WY,Wyoming,56,137,0
