date,code,state,fips,cases,deaths
5/15/2020,AL,Alabama,1,11373,483
5/15/2020,AK,Alaska,2,388,8
5/15/2020,AZ,Arizona,4,13169,651
5/15/2020,AR,Arkansas,5,4463,98
5/15/2020,CA,California,6,77015,3192
5/15/2020,CO,Colorado,8,21207,1150
5/15/2020,CT,Connecticut,9,36085,3285
5/15/2020,DE,Delaware,10,7373,271
5/15/2020,,District of Columbia,11,6871,368
5/15/2020,FL,Florida,12,44130,1916
5/15/2020,GA,Georgia,13,35242,1563
5/15/2020,,Guam,66,1123,6
5/15/2020,HI,Hawaii,15,628,17
5/15/2020,ID,Idaho,16,2389,73
5/15/2020,IL,Illinois,17,90529,4075
5/15/2020,IN,Indiana,18,27281,1691
5/15/2020,IA,Iowa,19,14049,336
5/15/2020,KS,Kansas,20,8007,187
5/15/2020,KY,Kentucky,21,7578,343
5/15/2020,LA,Louisiana,22,33837,2382
5/15/2020,ME,Maine,23,1603,69
5/15/2020,MD,Maryland,24,37105,1911
5/15/2020,MA,Massachusetts,25,83421,5592
5/15/2020,MI,Michigan,26,49982,4825
5/15/2020,MN,Minnesota,27,14249,692
5/15/2020,MS,Mississippi,28,10801,493
5/15/2020,MO,Missouri,29,10567,581
5/15/2020,MT,Montana,30,466,16
5/15/2020,NE,Nebraska,31,9772,123
5/15/2020,NV,Nevada,32,6744,345
5/15/2020,NH,New Hampshire,33,3464,159
5/15/2020,NJ,New Jersey,34,143905,10138
5/15/2020,NM,New Mexico,35,5662,253
5/15/2020,NY,New York,36,350951,27755
5/15/2020,NC,North Carolina,37,17190,660
5/15/2020,ND,North Dakota,38,1761,42
5/15/2020,,Northern Mariana Islands,69,19,2
5/15/2020,OH,Ohio,39,26956,1581
5/15/2020,OK,Oklahoma,40,5086,285
5/15/2020,OR,Oregon,41,3541,137
5/15/2020,PA,Pennsylvania,42,64178,4432
5/15/2020,,Puerto Rico,72,2542,122
5/15/2020,RI,Rhode Island,44,12219,479
5/15/2020,SC,South Carolina,45,8407,380
5/15/2020,SD,South Dakota,46,3887,44
5/15/2020,TN,Tennessee,47,16917,288
5/15/2020,TX,Texas,48,46987,1300
5/15/2020,UT,Utah,49,6930,77
5/15/2020,VT,Vermont,50,933,53
5/15/2020,,Virgin Islands,78,69,6
5/15/2020,VA,Virginia,51,28672,977
5/15/2020,WA,Washington,53,19230,1008
5/15/2020,WV,West Virginia,54,1447,64
5/15/2020,WI,Wisconsin,55,11854,445
5/15/2020,WY,Wyoming,56,716,7
